name,pairs_key,w_fx,fx_source,tau,train_sharpe,train_cagr,train_mdd,test_sharpe,test_cagr,test_mdd,full_sharpe,full_cagr,full_mdd
drop_DISCR_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.8,0.0931,-0.1585,0.97,0.239,-0.2477,0.84,0.1618,-0.2477
drop_FIN_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.78,0.0917,-0.1585,1.02,0.2509,-0.2477,0.87,0.1664,-0.2477
drop_FIN_w50_usdkrw_tau0.020,drop,0.5,usdkrw,0.02,0.77,0.0893,-0.1585,1.0,0.2452,-0.2477,0.85,0.1625,-0.2477
drop_FIN_w20_dxy_tau0.020,drop,0.2,dxy,0.02,0.77,0.0898,-0.1585,1.02,0.2509,-0.2477,0.86,0.1654,-0.2477
drop_DISCR_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.77,0.0897,-0.1585,1.02,0.2509,-0.2477,0.86,0.1653,-0.2477
drop_FIN_w00_usdkrw_tau0.025,drop,0.0,none,0.025,0.77,0.0898,-0.1585,1.02,0.2509,-0.2477,0.86,0.1654,-0.2477
drop_DISCR_w50_usdkrw_tau0.025,drop,0.5,usdkrw,0.025,0.77,0.0877,-0.1585,1.06,0.2589,-0.2477,0.88,0.1678,-0.2477
drop_DISCR_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.77,0.0897,-0.1585,1.02,0.2509,-0.2477,0.86,0.1653,-0.2477
drop_DISCR_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.77,0.0897,-0.1585,1.02,0.2509,-0.2477,0.86,0.1653,-0.2477
drop_DISCR_w30_usdkrw_tau0.025,drop,0.3,usdkrw,0.025,0.77,0.0897,-0.1585,1.0,0.2452,-0.2477,0.85,0.1627,-0.2477
drop_DISCR_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.77,0.0897,-0.1585,1.0,0.2452,-0.2477,0.85,0.1627,-0.2477
drop_DISCR_w50_usdkrw_tau0.020,drop,0.5,usdkrw,0.02,0.77,0.0897,-0.1585,1.0,0.2452,-0.2477,0.85,0.1627,-0.2477
drop_DISCR_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.77,0.0897,-0.1585,1.03,0.253,-0.2477,0.87,0.1662,-0.2477
Full5_w30_usdkrw_tau0.020,Full5,0.3,usdkrw,0.02,0.75,0.087,-0.1585,0.85,0.2141,-0.3196,0.76,0.147,-0.3196
drop_FIN_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.75,0.087,-0.1585,1.02,0.2509,-0.2477,0.86,0.1638,-0.2477
Full5_w50_usdkrw_tau0.015,Full5,0.5,usdkrw,0.015,0.75,0.0848,-0.1585,0.89,0.222,-0.3196,0.78,0.1494,-0.3196
drop_DISCR_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.75,0.0872,-0.1585,1.0,0.2452,-0.2477,0.84,0.1613,-0.2477
drop_IT_w50_usdkrw_tau0.020,drop,0.5,usdkrw,0.02,0.74,0.0865,-0.1585,0.97,0.239,-0.2477,0.82,0.1581,-0.2477
drop_FIN_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.74,0.088,-0.1585,0.97,0.2383,-0.2477,0.83,0.1586,-0.2477
drop_STAPLES_w00_usdkrw_tau0.025,drop,0.0,none,0.025,0.73,0.0862,-0.1585,0.89,0.2212,-0.3196,0.78,0.1499,-0.3196
drop_STAPLES_w50_usdkrw_tau0.020,drop,0.5,usdkrw,0.02,0.73,0.0862,-0.1585,0.89,0.222,-0.3196,0.78,0.1502,-0.3196
drop_STAPLES_w20_dxy_tau0.020,drop,0.2,dxy,0.02,0.73,0.0862,-0.1585,0.84,0.2089,-0.3196,0.75,0.1442,-0.3196
drop_FIN_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.73,0.0852,-0.1585,0.93,0.231,-0.2477,0.8,0.1538,-0.2477
drop_FIN_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.73,0.0852,-0.1585,1.01,0.2499,-0.2477,0.85,0.1623,-0.2477
drop_FIN_w30_usdkrw_tau0.025,drop,0.3,usdkrw,0.025,0.73,0.0852,-0.1585,0.98,0.2429,-0.2477,0.83,0.1591,-0.2477
drop_FIN_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.73,0.0852,-0.1585,1.01,0.2499,-0.2477,0.85,0.1623,-0.2477
Full5_w50_usdkrw_tau0.020,Full5,0.5,usdkrw,0.02,0.73,0.0856,-0.1585,0.83,0.2086,-0.3196,0.74,0.1437,-0.3196
Full5_w50_usdkrw_tau0.025,Full5,0.5,usdkrw,0.025,0.73,0.0837,-0.1585,1.01,0.2508,-0.2477,0.84,0.1619,-0.2477
Full5_w30_usdkrw_tau0.025,Full5,0.3,usdkrw,0.025,0.73,0.0856,-0.1585,0.98,0.2429,-0.2477,0.83,0.1594,-0.2477
drop_FIN_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.73,0.0852,-0.1585,1.01,0.2499,-0.2477,0.85,0.1623,-0.2477
drop_STAPLES_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.73,0.0862,-0.1585,0.89,0.2212,-0.3196,0.78,0.1499,-0.3196
drop_STAPLES_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.73,0.0862,-0.1585,0.84,0.2089,-0.3196,0.75,0.1442,-0.3196
drop_FIN_w50_usdkrw_tau0.025,drop,0.5,usdkrw,0.025,0.72,0.0838,-0.1585,0.96,0.2372,-0.2477,0.81,0.1558,-0.2477
drop_IT_w30_usdkrw_tau0.025,drop,0.3,usdkrw,0.025,0.72,0.0836,-0.1585,1.02,0.2499,-0.2477,0.84,0.1615,-0.2477
Full5_w20_usdkrw_tau0.025,Full5,0.2,usdkrw,0.025,0.72,0.0836,-0.1585,0.93,0.231,-0.2477,0.79,0.1529,-0.2477
drop_DISCR_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.71,0.0825,-0.1585,1.02,0.2509,-0.2477,0.84,0.1613,-0.2477
drop_STAPLES_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.71,0.0833,-0.1585,0.89,0.2212,-0.3196,0.77,0.1483,-0.3196
drop_STAPLES_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.71,0.0833,-0.1585,0.94,0.2337,-0.3196,0.8,0.154,-0.3196
drop_STAPLES_w50_dxy_tau0.020,drop,0.5,dxy,0.02,0.71,0.0833,-0.1585,0.9,0.2258,-0.3196,0.77,0.1503,-0.3196
drop_STAPLES_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.71,0.0833,-0.1585,0.89,0.2212,-0.3196,0.77,0.1483,-0.3196
drop_STAPLES_w50_usdkrw_tau0.025,drop,0.5,usdkrw,0.025,0.71,0.0833,-0.1585,0.87,0.2143,-0.3196,0.76,0.1451,-0.3196
drop_DISCR_w20_dxy_tau0.020,drop,0.2,dxy,0.02,0.71,0.0825,-0.1585,1.02,0.2509,-0.2477,0.84,0.1613,-0.2477
drop_DISCR_w00_usdkrw_tau0.025,drop,0.0,none,0.025,0.71,0.0825,-0.1585,1.02,0.2509,-0.2477,0.84,0.1613,-0.2477
drop_STAPLES_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.71,0.0833,-0.1585,0.94,0.2337,-0.3196,0.8,0.154,-0.3196
drop_STAPLES_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.71,0.0833,-0.1585,0.94,0.2337,-0.3196,0.8,0.154,-0.3196
drop_STAPLES_w30_usdkrw_tau0.025,drop,0.3,usdkrw,0.025,0.71,0.0833,-0.1585,0.94,0.2337,-0.3196,0.8,0.154,-0.3196
Full5_w50_dxy_tau0.020,Full5,0.5,dxy,0.02,0.71,0.0827,-0.1585,0.83,0.2086,-0.3196,0.73,0.1422,-0.3196
drop_IT_w50_dxy_tau0.020,drop,0.5,dxy,0.02,0.71,0.0826,-0.1585,0.96,0.238,-0.2477,0.81,0.1555,-0.2477
drop_ENERGY_w50_dxy_tau0.025,drop,0.5,dxy,0.025,0.7,0.084,-0.1498,0.76,0.19,-0.3088,0.69,0.1343,-0.3088
drop_IT_w50_usdkrw_tau0.025,drop,0.5,usdkrw,0.025,0.69,0.0794,-0.1498,1.02,0.2509,-0.2477,0.84,0.1596,-0.2477
drop_DISCR_w50_dxy_tau0.020,drop,0.5,dxy,0.02,0.69,0.0807,-0.1585,1.0,0.2452,-0.2477,0.82,0.1578,-0.2477
drop_FIN_w50_dxy_tau0.020,drop,0.5,dxy,0.02,0.69,0.0807,-0.1585,0.96,0.2372,-0.2477,0.8,0.1541,-0.2477
drop_FIN_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.69,0.0807,-0.1585,0.96,0.2372,-0.2477,0.8,0.1541,-0.2477
drop_FIN_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.69,0.0806,-0.1585,0.97,0.239,-0.2477,0.81,0.1549,-0.2477
drop_FIN_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.69,0.0827,-0.1585,0.97,0.2383,-0.2477,0.81,0.1557,-0.2477
drop_FIN_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.69,0.0827,-0.1585,1.02,0.2509,-0.2477,0.84,0.1614,-0.2477
drop_FIN_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.69,0.0806,-0.1585,0.97,0.2383,-0.2477,0.81,0.1546,-0.2477
drop_FIN_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.69,0.0806,-0.1585,0.97,0.2383,-0.2477,0.81,0.1546,-0.2477
drop_IT_w50_dxy_tau0.025,drop,0.5,dxy,0.025,0.68,0.077,-0.1498,0.99,0.2442,-0.2477,0.81,0.1552,-0.2477
drop_FIN_w50_dxy_tau0.025,drop,0.5,dxy,0.025,0.68,0.0779,-0.1585,1.01,0.2508,-0.2477,0.83,0.1587,-0.2477
drop_STAPLES_w50_dxy_tau0.025,drop,0.5,dxy,0.025,0.68,0.0804,-0.1585,0.84,0.2065,-0.3196,0.73,0.14,-0.3196
drop_ENERGY_w50_usdkrw_tau0.025,drop,0.5,usdkrw,0.025,0.67,0.0802,-0.1498,0.76,0.19,-0.3088,0.68,0.1322,-0.3088
Full5_w20_usdkrw_tau0.020,Full5,0.2,usdkrw,0.02,0.66,0.078,-0.1585,0.85,0.2141,-0.3196,0.73,0.1421,-0.3196
drop_STAPLES_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.65,0.075,-0.1585,0.89,0.222,-0.3196,0.75,0.1441,-0.3196
drop_STAPLES_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.65,0.0775,-0.1585,0.84,0.2089,-0.3196,0.72,0.1395,-0.3196
drop_STAPLES_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.65,0.0775,-0.1585,0.84,0.2089,-0.3196,0.72,0.1395,-0.3196
Full5_w50_dxy_tau0.025,Full5,0.5,dxy,0.025,0.65,0.0755,-0.1585,1.01,0.2508,-0.2477,0.82,0.1574,-0.2477
Full5_w20_dxy_tau0.020,Full5,0.2,dxy,0.02,0.63,0.0746,-0.1585,0.85,0.2141,-0.3196,0.72,0.1403,-0.3196
Full5_w00_usdkrw_tau0.025,Full5,0.0,none,0.025,0.63,0.0746,-0.1585,0.96,0.238,-0.2477,0.78,0.1511,-0.2477
Full5_w30_dxy_tau0.025,Full5,0.3,dxy,0.025,0.63,0.0746,-0.1585,0.98,0.2429,-0.2477,0.79,0.1533,-0.2477
Full5_w30_dxy_tau0.020,Full5,0.3,dxy,0.02,0.63,0.0746,-0.1585,0.85,0.2141,-0.3196,0.72,0.1403,-0.3196
Full5_w20_dxy_tau0.025,Full5,0.2,dxy,0.025,0.63,0.0746,-0.1585,0.93,0.231,-0.2477,0.76,0.148,-0.2477
Full5_w50_dxy_tau0.015,Full5,0.5,dxy,0.015,0.63,0.0746,-0.1585,0.85,0.2141,-0.3196,0.72,0.1403,-0.3196
drop_ENERGY_w00_usdkrw_tau0.025,drop,0.0,none,0.025,0.62,0.0729,-0.1585,0.8,0.1966,-0.3196,0.68,0.1313,-0.3196
drop_ENERGY_w20_dxy_tau0.020,drop,0.2,dxy,0.02,0.62,0.0729,-0.1585,0.8,0.1977,-0.3196,0.69,0.1318,-0.3196
drop_DISCR_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.61,0.0706,-0.1585,1.02,0.2509,-0.2477,0.81,0.1547,-0.2477
drop_DISCR_w50_dxy_tau0.025,drop,0.5,dxy,0.025,0.61,0.0706,-0.1585,1.06,0.2589,-0.2477,0.83,0.1584,-0.2477
drop_ENERGY_w50_dxy_tau0.020,drop,0.5,dxy,0.02,0.61,0.0752,-0.1585,0.8,0.1977,-0.3196,0.69,0.133,-0.3196
drop_IT_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.61,0.0717,-0.1585,0.97,0.238,-0.2477,0.78,0.1495,-0.2477
drop_IT_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.61,0.0717,-0.1585,0.92,0.2254,-0.2477,0.75,0.1438,-0.2477
drop_IT_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.61,0.0717,-0.1585,0.97,0.2383,-0.2477,0.78,0.1497,-0.2477
drop_IT_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.61,0.0717,-0.1585,1.02,0.2499,-0.2477,0.81,0.1549,-0.2477
drop_STAPLES_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.61,0.0737,-0.1777,0.84,0.2089,-0.3196,0.71,0.1374,-0.3196
drop_DISCR_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.6,0.0693,-0.1433,1.02,0.2509,-0.2477,0.8,0.154,-0.2477
drop_IT_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.59,0.0688,-0.1585,1.02,0.2499,-0.2477,0.8,0.1533,-0.2477
drop_IT_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.59,0.0688,-0.1585,1.02,0.2499,-0.2477,0.8,0.1533,-0.2477
drop_IT_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.59,0.0688,-0.1585,0.97,0.238,-0.2477,0.77,0.1479,-0.2477
drop_ENERGY_w20_usdkrw_tau0.025,drop,0.2,usdkrw,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w30_dxy_tau0.020,drop,0.3,dxy,0.02,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w30_usdkrw_tau0.025,drop,0.3,usdkrw,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w20_dxy_tau0.025,drop,0.2,dxy,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_ENERGY_w30_dxy_tau0.025,drop,0.3,dxy,0.025,0.59,0.0707,-0.1585,0.8,0.1977,-0.3196,0.68,0.1306,-0.3196
drop_IT_w50_dxy_tau0.015,drop,0.5,dxy,0.015,0.59,0.0688,-0.1585,0.97,0.239,-0.2477,0.77,0.1484,-0.2477
drop_STAPLES_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.58,0.0696,-0.1933,0.84,0.2089,-0.3196,0.7,0.1352,-0.3196
drop_DISCR_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.58,0.0664,-0.1433,1.02,0.2509,-0.2477,0.8,0.1524,-0.2477
Full5_w20_dxy_tau0.015,Full5,0.2,dxy,0.015,0.58,0.0685,-0.1585,0.88,0.2202,-0.3196,0.72,0.1397,-0.3196
drop_ENERGY_w20_usdkrw_tau0.020,drop,0.2,usdkrw,0.02,0.57,0.0656,-0.1585,0.8,0.1966,-0.3196,0.67,0.1274,-0.3196
drop_DISCR_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.56,0.0657,-0.1556,1.02,0.2503,-0.2477,0.79,0.1517,-0.2477
drop_ENERGY_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.55,0.0656,-0.1585,0.73,0.1812,-0.3196,0.62,0.1203,-0.3196
drop_ENERGY_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.55,0.0628,-0.1581,0.8,0.2027,-0.3196,0.66,0.1286,-0.3196
drop_ENERGY_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.55,0.0628,-0.1581,0.73,0.181,-0.3196,0.62,0.1187,-0.3196
drop_ENERGY_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.55,0.0628,-0.1581,0.73,0.1807,-0.3196,0.62,0.1185,-0.3196
drop_ENERGY_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.55,0.0628,-0.1581,0.73,0.1807,-0.3196,0.62,0.1185,-0.3196
drop_ENERGY_w30_usdkrw_tau0.020,drop,0.3,usdkrw,0.02,0.54,0.0634,-0.1585,0.8,0.1977,-0.3196,0.66,0.1267,-0.3196
drop_DISCR_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.54,0.0639,-0.1585,1.02,0.2509,-0.2477,0.79,0.151,-0.2477
drop_DISCR_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.54,0.0628,-0.1556,1.02,0.2509,-0.2477,0.78,0.1504,-0.2477
drop_FIN_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.54,0.0644,-0.1585,0.97,0.2383,-0.2477,0.76,0.1456,-0.2477
Full5_w00_usdkrw_tau0.015,Full5,0.0,none,0.015,0.53,0.0633,-0.1752,0.89,0.2202,-0.3196,0.71,0.1369,-0.3196
Full5_w20_usdkrw_tau0.015,Full5,0.2,usdkrw,0.015,0.53,0.0633,-0.1752,0.89,0.2202,-0.3196,0.71,0.1369,-0.3196
Full5_w30_dxy_tau0.015,Full5,0.3,dxy,0.015,0.53,0.0633,-0.1773,0.85,0.2134,-0.3196,0.69,0.1338,-0.3196
Full5_w30_usdkrw_tau0.015,Full5,0.3,usdkrw,0.015,0.53,0.0633,-0.1752,0.89,0.222,-0.3196,0.71,0.1377,-0.3196
Full5_w00_usdkrw_tau0.020,Full5,0.0,none,0.02,0.53,0.0633,-0.1773,0.86,0.2135,-0.3196,0.69,0.1338,-0.3196
drop_ENERGY_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.52,0.0603,-0.1585,0.75,0.1854,-0.3196,0.62,0.1193,-0.3196
drop_IT_w20_dxy_tau0.015,drop,0.2,dxy,0.015,0.51,0.0613,-0.1897,0.9,0.2205,-0.2477,0.71,0.1359,-0.2477
drop_IT_w00_usdkrw_tau0.025,drop,0.0,none,0.025,0.51,0.0613,-0.1897,0.92,0.2254,-0.2477,0.72,0.1381,-0.2477
drop_IT_w20_dxy_tau0.020,drop,0.2,dxy,0.02,0.51,0.0613,-0.1897,0.92,0.2254,-0.2477,0.72,0.1381,-0.2477
drop_IT_w00_usdkrw_tau0.020,drop,0.0,none,0.02,0.51,0.0613,-0.1897,0.92,0.2247,-0.2477,0.72,0.1378,-0.2477
drop_STAPLES_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.51,0.0599,-0.1828,0.84,0.2089,-0.3196,0.67,0.1299,-0.3196
drop_IT_w30_usdkrw_tau0.015,drop,0.3,usdkrw,0.015,0.51,0.0613,-0.1897,0.92,0.2258,-0.2477,0.72,0.1383,-0.2477
drop_IT_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.51,0.0613,-0.1897,0.92,0.2258,-0.2477,0.72,0.1383,-0.2477
drop_IT_w30_dxy_tau0.015,drop,0.3,dxy,0.015,0.51,0.0613,-0.1897,0.92,0.2258,-0.2477,0.72,0.1383,-0.2477
drop_IT_w00_usdkrw_tau0.015,drop,0.0,none,0.015,0.5,0.0606,-0.1845,0.93,0.2288,-0.2477,0.72,0.1393,-0.2477
drop_STAPLES_w20_usdkrw_tau0.015,drop,0.2,usdkrw,0.015,0.49,0.0579,-0.1933,0.84,0.2089,-0.3196,0.67,0.1288,-0.3196
drop_ENERGY_w50_usdkrw_tau0.015,drop,0.5,usdkrw,0.015,0.48,0.0568,-0.1585,0.82,0.2024,-0.3196,0.65,0.1252,-0.3196
drop_ENERGY_w50_usdkrw_tau0.020,drop,0.5,usdkrw,0.02,0.48,0.0568,-0.1585,0.8,0.1977,-0.3196,0.64,0.123,-0.3196
